,Object,Close Approach Date and Time,Close Approach Time Error,Close Approach Nominal Distance LD,Close Approach Minimum Distance LD,Minimum Distance Category,Diameter Min (m),Diameter Max (m),NEO Size Category,Relative Velocity (km/s),V Infinity (km/s),Relative Velocity Category,Absolute Magnitude (mag)
1893,(2017 WE28),2044,22:01,15.34,9.67,Mid-Distance,12.0,27.0,Small,9.62,9.61,Slow,26.7
1894,433953 (1997 XR2),2044,00:01,10.41,10.41,Mid-Distance,259.0,86.0,Large,6.53,6.51,Slow,20.7
1895,(2016 WL48),2044,11:56,18.23,7.05,Mid-Distance,28.0,62.0,Large,6.4,6.39,Slow,24.9
1896,(2019 KJ2),2044,12:12,11.41,11.41,Mid-Distance,10.0,23.0,Small,1.8,1.75,Slow,27.1
1897,(2014 GQ17),2044,00:11,2.02,0.07,Close,10.0,23.0,Small,5.35,5.25,Slow,27.1
1898,(2015 LR21),2044,06:27,18.84,17.53,Mid-Distance,13.0,28.0,Small,15.33,15.32,Medium speed,26.6
1899,(2018 CU14),2044,20:59,5.69,4.74,Mid-Distance,8.0,18.0,Small,4.28,4.24,Slow,27.6
1900,(2006 XR4),2044,06:45,17.44,17.21,Mid-Distance,15.0,34.0,Small,9.89,9.88,Slow,26.2
1901,(2019 NY4),2044,04:52,16.25,16.23,Mid-Distance,88.0,200.0,Large,20.26,20.25,Fast,22.4
1902,(2015 ND3),2044,18:21,16.87,0.06,Close,17.0,38.0,Small,9.34,9.33,Slow,26.0
1903,(2015 MO116),2044,01:17,3.94,3.76,Mid-Distance,42.0,94.0,Large,9.29,9.26,Slow,24.0
1904,(2017 NS5),2044,00:01,12.07,12.06,Mid-Distance,180.0,410.0,Large,22.57,22.57,Fast,20.8
1905,(2009 BW2),2044,00:12,13.33,13.31,Mid-Distance,25.0,57.0,Large,3.56,3.54,Slow,25.1
1906,(2005 TG50),2044,00:03,6.60,6.60,Mid-Distance,29.0,64.0,Large,3.85,3.81,Slow,24.8
1907,(2017 WN28),2044,00:10,13.53,13.52,Mid-Distance,290.0,650.0,Large,8.04,8.03,Slow,19.8
1908,(2020 RS),2044,01:40,14.45,13.71,Mid-Distance,22.0,49.0,Small,5.85,5.84,Slow,25.4
1909,(2013 RO5),2044,14:47,17.16,11.26,Mid-Distance,29.0,65.0,Large,8.24,8.23,Slow,24.8
1910,(2021 NY1),2044,10:18,15.63,15.48,Mid-Distance,110.0,250.0,Large,9.56,9.55,Slow,21.8
1911,(2005 RK3),2044,00:03,6.51,6.51,Mid-Distance,48.0,110.0,Large,3.23,3.18,Slow,23.7
1912,(2012 RM15),2044,00:24,18.58,18.44,Mid-Distance,37.0,82.0,Large,10.07,10.06,Medium speed,24.3
1913,(2019 SJ),2044,11:39,15.35,4.55,Mid-Distance,8.0,18.0,Small,7.69,7.68,Slow,27.6
1914,(2020 QL2),2044,14:53,1.04,0.99,Close,53.0,120.0,Large,9.39,9.29,Slow,23.5
1915,(2011 TO),2044,00:05,1.23,0.73,Close,13.0,29.0,Small,8.56,8.46,Slow,26.6
1916,(2021 CU1),2044,14:22,11.16,10.81,Mid-Distance,5.1,11.0,Small,8.44,8.43,Slow,28.6
1917,(2011 SM68),2044,00:01,13.21,13.21,Mid-Distance,320.0,700.0,Large,23.93,23.93,Fast,19.6
1918,(2009 UD),2044,16:17,19.01,14.38,Mid-Distance,9.7,22.0,Small,5.06,5.05,Slow,27.2
1919,(2021 US1),2044,02:48,13.04,12.86,Mid-Distance,7.6,17.0,Small,3.99,3.97,Slow,27.7
1920,(2021 VN3),2044,05:56,1.65,0.35,Close,2.0,4.5,Small,8.95,8.88,Slow,30.6
1921,(2021 VD8),2044,14:15,7.07,0.12,Close,2.2,5.0,Small,11.15,11.14,Medium speed,30.4
1922,(2009 WM105),2044,12:50,18.82,15.99,Mid-Distance,67.0,150.0,Large,5.63,5.62,Slow,23.0
1923,(2014 BA3),2044,22:57,14.68,13.54,Mid-Distance,6.1,14.0,Small,2.55,2.53,Slow,28.2
1924,(2020 HN),2044,02:46,3.75,3.21,Mid-Distance,5.3,12.0,Small,3.25,3.17,Slow,28.5
1925,(2001 VJ5),2044,00:03,16.96,16.95,Mid-Distance,110.0,240.0,Large,13.65,13.65,Medium speed,22.0
1926,(2018 WC),2044,08:26,15.43,14.78,Mid-Distance,64.0,140.0,Large,19.97,19.97,Medium speed,23.1
1927,481394 (2006 SF6),2044,00:01,15.47,15.47,Mid-Distance,270.0,610.0,Large,7.59,7.58,Slow,19.9
1928,361754 (2007 YV29),2044,00:01,19.34,19.34,Mid-Distance,400.0,900.0,Large,14.4,14.4,Medium speed,19.1
1929,480808 (1994 XL1),2044,00:01,14.15,14.15,Mid-Distance,180.0,390.0,Large,15.64,15.63,Medium speed,20.9
1930,(2020 MA3),2044,00:02,14.97,14.97,Mid-Distance,420.0,940.0,Large,20.15,20.15,Fast,19.0
1931,(2000 YA),2044,00:01,8.06,8.06,Mid-Distance,48.0,110.0,Large,15.1,15.09,Medium speed,23.7
1932,(2006 UO),2044,00:07,18.38,18.37,Mid-Distance,150.0,340.0,Large,9.24,9.23,Slow,21.2
1933,(1997 YM9),2045,00:01,11.92,11.92,Mid-Distance,36.0,80.0,Large,4.71,4.69,Slow,24.4
1934,(2003 YG136),2045,06:53,7.49,4.74,Mid-Distance,23.0,52.0,Large,11.35,11.34,Medium speed,25.3
1935,(2018 YO2),2045,04:30,9.35,2.58,Far Away,2.9,6.5,Small,4.55,4.52,Slow,29.8
1936,(2011 CL50),2045,00:38,9.00,9.00,Mid-Distance,9.2,21.0,Small,2.98,2.94,Slow,27.3
1937,(2021 AK5),2045,07:52,8.81,8.80,Mid-Distance,7.2,16.0,Small,2.66,2.61,Slow,27.8
1938,(2002 AO11),2045,00:03,14.84,14.80,Mid-Distance,175.0,54.0,Large,7.57,7.56,Slow,22.7
1939,(2010 UY7),2045,05:52,7.28,2.76,Far Away,5.3,12.0,Small,4.46,4.43,Slow,28.5
1940,(2018 BN6),2045,06:26,7.27,1.01,Far Away,12.0,26.0,Small,10.81,10.79,Medium speed,26.8
1941,(2015 PA57),2045,18:24,9.62,9.44,Mid-Distance,33.0,75.0,Large,10.92,10.91,Medium speed,24.5
1942,(2011 EX4),2045,00:01,17.81,17.80,Mid-Distance,32.0,71.0,Large,8.35,8.34,Slow,24.6
1943,(2013 MW6),2045,00:05,19.16,19.16,Mid-Distance,280.0,630.0,Large,10.47,10.46,Medium speed,19.9
1944,(2011 ST12),2045,22:58,13.36,12.84,Mid-Distance,14.0,31.0,Small,6.2,6.18,Slow,26.4
1945,(2020 UX),2045,17:10,13.02,7.46,Mid-Distance,1.6,3.5,Small,7.53,7.52,Slow,31.1
1946,(2016 EV84),2045,23:56,17.92,9.65,Mid-Distance,12.0,27.0,Small,7.39,7.38,Slow,26.7
1947,(2018 CS2),2045,07:19,10.30,10.06,Mid-Distance,21.0,47.0,Small,6.28,6.26,Slow,25.5
1948,310442 (2000 CH59),2045,00:01,15.36,15.36,Mid-Distance,280.0,640.0,Large,13.42,13.41,Medium speed,19.9
1949,(2010 FC81),2045,17:42,9.53,8.85,Mid-Distance,402.0,6.0,Small,9.21,9.2,Slow,21.8
1950,(2001 VE2),2045,23:26,18.29,17.40,Mid-Distance,27.0,59.0,Large,4.55,4.54,Slow,25.0
1951,(2020 FA1),2045,01:48,18.95,18.89,Mid-Distance,14.0,32.0,Small,2.58,2.56,Slow,26.4
1952,(2019 KJ4),2045,14:56,3.72,0.57,Close,8.8,20.0,Small,5.33,5.28,Slow,27.4
1953,(2017 WC15),2045,00:03,17.22,17.22,Mid-Distance,350.0,780.0,Large,22.71,22.71,Fast,19.4
1954,153002 (2000 JG5),2045,00:01,15.02,15.02,Mid-Distance,630000.0,1400.0,Large,30.86,30.86,Fast,18.1
1955,(2010 JW34),2045,20:57,3.07,3.06,Mid-Distance,6.4,14.0,Small,1.71,1.5,Slow,28.1
1956,(2019 HV3),2045,08:02,18.21,9.73,Mid-Distance,42.0,94.0,Large,12.55,12.54,Medium speed,24.0
1957,(2015 YA),2045,00:13,4.76,4.60,Mid-Distance,8.8,20.0,Small,8.7,8.68,Slow,27.4
1958,(2017 KG3),2045,13:18,18.49,5.42,Mid-Distance,31.0,68.0,Large,14.96,14.96,Medium speed,24.7
1959,(2008 JL24),2045,01:10,6.46,3.55,Mid-Distance,3.2,7.1,Small,3.28,3.23,Slow,29.6
1960,(2016 JC6),2045,00:03,8.39,8.39,Mid-Distance,192.0,54.0,Large,5.76,5.74,Slow,21.4
1961,(2018 WX1),2045,00:22,9.78,9.69,Mid-Distance,39.0,88.0,Large,8.5,8.49,Slow,24.1
1962,(2011 UC64),2045,18:58,17.63,17.29,Mid-Distance,7.0,16.0,Small,13.75,13.75,Medium speed,27.9
1963,(2016 HF19),2045,23:58,11.82,11.41,Mid-Distance,13.0,30.0,Small,2.66,2.63,Slow,26.5
1964,(2021 KF2),2045,15:55,12.65,12.50,Mid-Distance,69.0,150.0,Large,11.07,11.06,Medium speed,22.9
1965,(2017 LD),2045,10:38,2.26,1.28,Far Away,8.4,19.0,Small,4.77,4.67,Slow,27.5
1966,(2008 TZ),2045,19:33,19.05,9.36,Mid-Distance,22.0,49.0,Small,12.69,12.68,Medium speed,25.4
1967,(2005 FE3),2045,00:07,18.14,18.13,Mid-Distance,370.0,820.0,Large,11.89,11.88,Medium speed,19.3
1968,89136 (2001 US16),2045,00:01,16.48,16.48,Mid-Distance,240.0,540.0,Large,4.63,4.61,Slow,20.2
1969,(2008 XM1),2045,00:01,14.23,14.23,Mid-Distance,110.0,240.0,Large,25.3,25.29,Fast,22.0
1970,(2017 QC17),2045,00:02,13.46,13.46,Mid-Distance,97.0,220.0,Large,14.17,14.16,Medium speed,22.2
1971,(1999 NW2),2045,00:01,19.07,19.07,Mid-Distance,61.0,140.0,Large,4.72,4.7,Slow,23.2
1972,(2014 MF18),2045,00:01,6.43,6.42,Mid-Distance,69.0,20.0,Small,3.35,3.3,Slow,26.1
1973,(2000 AG6),2045,06:16,12.15,8.96,Mid-Distance,23.0,52.0,Large,5.06,5.04,Slow,25.3
1974,(2020 UA3),2045,23:24,11.86,3.64,Mid-Distance,12.0,27.0,Small,5.51,5.5,Slow,26.7
1975,(2017 RX2),2045,16:57,18.76,15.67,Mid-Distance,14.0,31.0,Small,11.94,11.93,Medium speed,26.4
1976,3362 Khufu (1984 QA),2045,00:01,8.24,8.23,Mid-Distance,700.0,700.0,Large,15.72,15.71,Medium speed,18.3
1977,(2007 UT3),2045,00:30,17.24,0.26,Close,18.0,39.0,Small,10.46,10.45,Medium speed,25.9
1978,(2020 BK13),2045,12:15,13.79,11.66,Mid-Distance,5.3,12.0,Small,9.32,9.32,Slow,28.5
1979,(2018 RW),2045,11:05,19.17,12.81,Mid-Distance,2.0,4.5,Small,4.68,4.66,Slow,30.6
1980,(2016 RZ),2045,11:07,15.10,13.17,Mid-Distance,12.0,27.0,Small,3.93,3.91,Slow,26.7
1981,(2017 FB3),2045,14:55,12.55,9.19,Mid-Distance,18.0,39.0,Small,5.99,5.98,Slow,25.9
1982,(2016 RN20),2045,16:12,14.53,3.73,Mid-Distance,6.1,14.0,Small,3.62,3.6,Slow,28.2
1983,(2006 BE55),2045,00:01,10.85,10.85,Mid-Distance,110.0,250.0,Large,13.38,13.38,Medium speed,21.9
1984,(2016 RU33),2045,09:39,17.15,6.57,Mid-Distance,8.4,19.0,Small,5.7,5.68,Slow,27.5
1985,(2020 VH),2045,00:36,12.75,12.48,Mid-Distance,5.3,12.0,Small,3.68,3.65,Slow,28.5
1986,(2017 US),2045,00:01,7.58,7.58,Mid-Distance,15.0,34.0,Small,4.07,4.04,Slow,26.2
1987,(2020 TL2),2045,09:26,17.97,17.40,Mid-Distance,33.0,75.0,Large,10.42,10.42,Medium speed,24.5
1988,2340 Hathor (1976 UA),2045,00:01,9.42,9.41,Mid-Distance,300.0,300.0,Large,12.59,12.58,Medium speed,20.3
1989,(2020 VU5),2045,01:54,15.04,14.50,Mid-Distance,8.8,20.0,Small,4.77,4.76,Slow,27.4
1990,(2017 WK14),2045,00:08,8.25,8.24,Mid-Distance,120.0,260.0,Large,11.33,11.32,Medium speed,21.8
1991,(2013 XW3),2045,01:17,16.54,16.49,Mid-Distance,160.0,350.0,Large,10.93,10.93,Medium speed,21.1
1992,(2018 WU),2045,09:40,8.88,8.16,Mid-Distance,31.0,68.0,Large,10.73,10.71,Medium speed,24.7
1993,(2021 XV),2045,23:27,2.55,0e+0,Close,2.5,5.7,Small,10.93,10.89,Medium speed,30.1
1994,139622 (2001 QQ142),2045,00:01,11.78,11.78,Mid-Distance,550000.0,1200.0,Large,7.54,7.53,Slow,18.4
1995,(2020 YU),2045,00:16,7.21,3.39,Mid-Distance,21.0,47.0,Small,17.33,17.32,Medium speed,25.5
1996,(2019 AG7),2045,08:15,6.58,4.13,Mid-Distance,21.0,47.0,Small,6.6,6.57,Slow,25.5
1997,(2020 YM1),2045,09:48,2.86,1.07,Far Away,3.1,6.8,Small,3.3,3.19,Slow,29.7
1998,(2006 MB14),2045,19:48,18.36,15.73,Mid-Distance,22.0,49.0,Small,11.06,11.05,Medium speed,25.4
1999,(2007 TU24),2046,00:11,5.63,5.63,Mid-Distance,230.0,520.0,Large,8.3,8.28,Slow,20.3
2000,(2012 BT1),2046,14:52,14.11,12.93,Mid-Distance,8.8,20.0,Small,6.09,6.08,Slow,27.4
2001,(2022 BA6),2046,16:38,10.03,9.95,Mid-Distance,14.0,31.0,Small,2.61,2.57,Slow,26.4
2002,(2016 YP4),2046,18:13,12.80,11.88,Mid-Distance,11.0,24.0,Small,2.36,2.33,Slow,27.0
2003,(2016 TG55),2046,10:50,5.60,4.93,Mid-Distance,17.0,38.0,Small,5.93,5.9,Slow,26.0
2004,(2020 OP3),2046,00:05,4.87,4.86,Mid-Distance,160.0,370.0,Large,16.99,16.98,Medium speed,21.0
2005,(2015 TJ1),2046,00:24,11.27,11.27,Mid-Distance,80.0,180.0,Large,3.63,3.61,Slow,22.6
2006,(2016 FY2),2046,01:15,18.05,17.53,Mid-Distance,21.0,47.0,Small,5.46,5.45,Slow,25.5
2007,(2014 BP43),2046,10:17,8.18,5.19,Mid-Distance,13.0,30.0,Small,6.78,6.76,Slow,26.5
2008,(2017 BO6),2046,04:43,17.36,13.88,Mid-Distance,16.0,36.0,Small,9.8,9.8,Slow,26.1
2009,367943 Duende (2012 DA14),2046,00:04,5.80,5.77,Mid-Distance,42.0,94.0,Large,6.23,6.2,Slow,24.0
2010,(2017 BW),2046,00:02,12.86,12.86,Mid-Distance,53.0,120.0,Large,5.6,5.58,Slow,23.5
2011,(2017 EH1),2046,00:01,12.82,12.82,Mid-Distance,61.0,140.0,Large,12.79,12.79,Medium speed,23.2
2012,(2016 EJ156),2046,01:49,10.71,8.44,Mid-Distance,18.0,41.0,Small,4.83,4.81,Slow,25.8
2013,474158 (1999 FA),2046,00:01,7.74,7.73,Mid-Distance,200.0,440.0,Large,6.85,6.83,Slow,20.6
2014,(2019 EA2),2046,02:23,12.61,12.50,Mid-Distance,18.0,41.0,Small,4.66,4.65,Slow,25.8
2015,(2012 DW60),2046,00:01,4.90,4.90,Mid-Distance,13.0,30.0,Small,5.75,5.71,Slow,26.5
2016,(2015 FW117),2046,22:48,13.76,4.04,Mid-Distance,77.0,170.0,Large,18.12,18.12,Medium speed,22.7
2017,267221 (2001 AD2),2046,00:01,4.37,4.37,Mid-Distance,562.0,19.0,Small,21.94,21.92,Fast,19.7
2018,(2019 SX5),2046,08:20,16.50,16.49,Mid-Distance,64.0,140.0,Large,20.81,20.81,Fast,23.1
2019,(1994 GL),2046,00:08,8.44,8.44,Mid-Distance,21.0,47.0,Small,9.4,9.39,Slow,25.5
2020,(2019 FV2),2046,01:19,15.53,15.52,Mid-Distance,28.0,62.0,Large,2.08,2.05,Slow,24.9
2021,(2009 BD),2046,00:24,8.16,8.16,Mid-Distance,6.4,14.0,Small,1.41,1.31,Slow,28.1
2022,399774 (2005 NB7),2046,00:02,11.43,11.43,Mid-Distance,520000.0,1200.0,Large,10.58,10.58,Medium speed,18.6
2023,(2020 TK2),2046,14:56,19.29,14.17,Mid-Distance,22.0,49.0,Small,8.02,8.01,Slow,25.4
2024,(2012 XO134),2046,00:01,10.15,10.15,Mid-Distance,42.0,94.0,Large,11.61,11.6,Medium speed,24.0
2025,(2017 JE3),2046,02:16,12.83,6.32,Mid-Distance,100.0,230.0,Large,15.06,15.05,Medium speed,22.1
2026,(2019 HN4),2046,02:14,5.72,1.67,Far Away,5.1,11.0,Small,5.37,5.34,Slow,28.6
2027,192559 (1998 VO),2046,00:01,12.39,12.39,Mid-Distance,230.0,520.0,Large,9.26,9.25,Slow,20.3
2028,(2020 HY6),2046,01:33,17.16,8.67,Mid-Distance,11.0,25.0,Small,8.75,8.74,Slow,26.9
2029,(2020 TV5),2046,14:03,15.96,10.10,Mid-Distance,6.3,14.0,Small,7.86,7.85,Slow,28.1
2030,(2020 UM3),2046,03:54,18.24,16.74,Mid-Distance,37.0,82.0,Large,8.64,8.64,Slow,24.3
2031,(2021 JB6),2046,21:38,11.30,4.74,Mid-Distance,4.7,10.0,Small,9.45,9.44,Slow,28.8
2032,(2015 YA),2046,03:33,4.98,4.59,Mid-Distance,8.8,20.0,Small,8.63,8.61,Slow,27.4
2033,(2002 JX8),2046,00:01,11.12,11.12,Mid-Distance,220.0,490.0,Large,6.06,6.04,Slow,20.4
2034,(2020 KJ4),2046,20:08,15.17,0.36,Close,2.8,6.2,Small,5.43,5.41,Slow,29.9
2035,418094 (2007 WV4),2046,00:01,12.40,12.40,Mid-Distance,890.0,165.0,Large,22.74,22.74,Fast,19.6
2036,(2018 YU2),2046,04:06,11.86,11.56,Mid-Distance,13.0,30.0,Small,4.77,4.75,Slow,26.5
2037,(2017 HG4),2046,00:07,14.52,14.52,Mid-Distance,7.7,17.0,Small,3.63,3.61,Slow,27.7
2038,(2005 HB4),2046,03:36,17.20,14.73,Mid-Distance,35.0,78.0,Large,3.56,3.54,Slow,24.4
2039,140158 (2001 SX169),2046,00:01,17.83,17.83,Mid-Distance,566.0,10.0,Small,13.93,13.92,Medium speed,18.4
2040,(2021 ER4),2046,21:55,18.92,12.98,Mid-Distance,10.0,22.0,Small,11.82,11.81,Medium speed,27.1
2041,(2000 LF3),2046,10:37,2.69,2.66,Far Away,130.0,280.0,Large,15.24,15.22,Medium speed,21.6
2042,(2016 LG),2046,01:42,10.51,10.45,Mid-Distance,23.0,52.0,Large,6.66,6.65,Slow,25.3
2043,438955 (2010 LN14),2046,00:01,11.56,11.56,Mid-Distance,160.0,360.0,Large,15.17,15.16,Medium speed,21.1
2044,(2014 UD57),2046,14:56,4.15,3.94,Mid-Distance,18.0,41.0,Small,8.86,8.83,Slow,25.8
2045,(2014 XJ3),2046,00:01,11.00,11.00,Mid-Distance,260.0,570.0,Large,21.81,21.81,Fast,20.1
2046,(2022 AX4),2046,12:53,13.44,9.42,Mid-Distance,16.0,36.0,Small,7.13,7.12,Slow,26.1
2047,417612 (2006 WQ29),2046,00:16,8.40,8.39,Mid-Distance,550000.0,1200.0,Large,8.48,8.47,Slow,18.4
2048,(2021 NF),2046,16:11,11.99,9.98,Mid-Distance,30.0,67.0,Large,10.09,10.08,Medium speed,24.7
2049,(2007 PS9),2046,00:01,14.25,14.25,Mid-Distance,53.0,120.0,Large,4.82,4.8,Slow,23.5
2050,(2014 QV296),2046,21:09,14.02,13.07,Mid-Distance,46.0,100.0,Large,11.04,11.03,Medium speed,23.8
2051,4769 Castalia (1989 PB),2046,00:01,9.76,9.76,Mid-Distance,1400.0,1400.0,Large,14.73,14.72,Medium speed,17.5
2052,(2020 RU7),2046,14:20,18.92,15.34,Mid-Distance,23.0,52.0,Large,6.1,6.09,Slow,25.3
2053,(2019 JF1),2046,17:05,16.34,15.20,Mid-Distance,48.0,110.0,Large,5.5,5.49,Slow,23.7
2054,(2017 TU1),2046,14:20,13.69,6.09,Mid-Distance,17.0,38.0,Small,9.72,9.71,Slow,26.0
2055,(1996 VB3),2046,00:01,14.86,14.86,Mid-Distance,100.0,230.0,Large,16.22,16.21,Medium speed,22.1
2056,(2021 SZ4),2046,12:24,16.66,15.53,Mid-Distance,220.0,480.0,Large,30.36,30.35,Fast,20.5
2057,(2019 UO7),2046,03:00,17.83,4.12,Mid-Distance,8.0,18.0,Small,5.46,5.45,Slow,27.6
2058,(2021 US2),2046,16:40,19.23,16.01,Mid-Distance,48.0,110.0,Large,19.25,19.25,Medium speed,23.7
2059,(2011 WV4),2046,00:05,11.34,11.33,Mid-Distance,77.0,170.0,Large,11.07,11.06,Medium speed,22.7
2060,(2021 HC2),2046,17:56,12.96,8.27,Mid-Distance,4.6,10.0,Small,6.22,6.21,Slow,28.8
2061,(2015 VZ2),2046,00:02,16.80,16.80,Mid-Distance,80.0,180.0,Large,10.72,10.72,Medium speed,22.6
2062,(2018 VH5),2046,11:28,6.57,5.68,Mid-Distance,8.8,20.0,Small,5.71,5.68,Slow,27.4
2063,1862 Apollo (1932 HA),2046,00:01,13.73,13.73,Mid-Distance,1500.0,1500.0,Large,17.98,17.98,Medium speed,16.1
2064,(2020 HR3),2046,00:22,12.30,12.30,Mid-Distance,41.0,92.0,Large,11.51,11.51,Medium speed,24.0
2065,(2017 WT28),2046,12:44,14.72,9.94,Mid-Distance,6.4,14.0,Small,5.37,5.36,Slow,28.1
2066,(1994 WR12),2046,00:04,4.25,4.24,Mid-Distance,88.0,200.0,Large,9.56,9.53,Slow,22.4
2067,(2015 ET),2046,16:14,16.66,4.01,Mid-Distance,12.0,27.0,Small,13.26,13.26,Medium speed,26.7
2068,(2002 LW),2046,00:13,13.36,13.35,Mid-Distance,88.0,200.0,Large,6.78,6.77,Slow,22.4
2069,(2014 XO7),2046,01:13,14.94,1.79,Far Away,12.0,26.0,Small,13.21,13.2,Medium speed,26.8
2070,(2019 UU7),2046,05:15,8.90,5.77,Mid-Distance,17.0,38.0,Small,7.09,7.07,Slow,26.0
2071,(2006 YM),2046,02:02,9.79,9.70,Mid-Distance,35.0,78.0,Large,6.98,6.96,Slow,24.4
2072,(1999 UR),2046,00:05,17.86,17.86,Mid-Distance,130.0,300.0,Large,7.97,7.96,Slow,21.5
2073,220839 (2004 VA),2046,00:01,16.92,16.92,Mid-Distance,870000.0,2000.0,Large,13.75,13.75,Medium speed,17.4
2074,(2014 YS),2046,12:42,18.72,18.43,Mid-Distance,33.0,75.0,Large,7.83,7.82,Slow,24.5
2075,(2021 AM2),2047,00:32,13.88,13.53,Mid-Distance,10.0,23.0,Small,4.5,4.49,Slow,27.1
2076,(2018 AM12),2047,00:01,12.63,12.62,Mid-Distance,150.0,340.0,Large,11.36,11.35,Medium speed,21.2
2077,(2010 WZ8),2047,00:02,4.17,4.17,Mid-Distance,190.0,420.0,Large,7.2,7.16,Slow,20.8
2078,(2019 AT6),2047,01:39,17.52,11.85,Mid-Distance,8.0,18.0,Small,5.79,5.78,Slow,27.6
2079,(2011 CQ1),2047,12:21,15.34,12.20,Mid-Distance,1.0,2.3,Small,4.58,4.57,Slow,32.1
2080,(2018 BC),2047,16:28,4.32,3.79,Mid-Distance,3.5,7.8,Small,1.97,1.85,Slow,29.4
2081,(2020 AD1),2047,00:02,12.06,12.05,Mid-Distance,15.0,33.0,Small,5.0,4.99,Slow,26.3
2082,(2022 BB1),2047,06:14,14.01,9.14,Mid-Distance,25.0,56.0,Large,16.39,16.39,Medium speed,25.1
2083,(2012 HG2),2047,14:22,0.37,1e-4,Close,11.0,24.0,Small,4.11,3.37,Slow,27.0
2084,65909 (1998 FH12),2047,00:01,15.46,15.46,Mid-Distance,380.0,850.0,Large,16.53,16.53,Medium speed,19.2
2085,(2021 CC2),2047,16:02,12.69,12.29,Mid-Distance,68.0,150.0,Large,4.27,4.25,Slow,22.9
2086,(2000 QV7),2047,00:01,6.84,6.84,Mid-Distance,130.0,290.0,Large,16.67,16.66,Medium speed,21.6
2087,(2016 DP2),2047,19:19,9.76,8.63,Mid-Distance,18.0,39.0,Small,7.48,7.47,Slow,25.9
2088,162421 (2000 ET70),2047,00:01,16.59,16.59,Mid-Distance,670000.0,1500.0,Large,11.93,11.92,Medium speed,18.0
2089,162567 (2000 RW37),2047,00:01,11.70,11.70,Mid-Distance,335.0,7.0,Small,9.52,9.51,Slow,19.8
2090,(1996 BG1),2047,00:04,16.59,16.58,Mid-Distance,46.0,100.0,Large,9.36,9.36,Slow,23.8
2091,(2018 GR4),2047,15:25,12.89,5.96,Mid-Distance,10.0,23.0,Small,3.62,3.6,Slow,27.1
2092,(2003 EM1),2047,00:52,7.19,5.33,Mid-Distance,33.0,75.0,Large,7.95,7.93,Slow,24.5
2093,(2018 FQ4),2047,00:05,17.32,17.31,Mid-Distance,11.0,24.0,Small,10.46,10.45,Medium speed,27.0
2094,(2020 DT3),2047,02:46,18.52,18.09,Mid-Distance,150.0,340.0,Large,14.41,14.41,Medium speed,21.2
2095,(2011 GE3),2047,07:09,7.27,5.61,Mid-Distance,17.0,38.0,Small,7.04,7.02,Slow,26.0
2096,(2019 GW1),2047,00:52,11.54,10.62,Mid-Distance,16.0,36.0,Small,7.43,7.42,Slow,26.1
2097,(2014 UR116),2047,00:01,11.53,11.53,Mid-Distance,290.0,650.0,Large,22.87,22.86,Fast,19.8
2098,(2019 GG19),2047,21:03,16.15,12.09,Mid-Distance,40.0,90.0,Large,12.45,12.45,Medium speed,24.1
2099,(2017 HU2),2047,00:04,12.15,8.45,Mid-Distance,18.0,39.0,Small,4.27,4.25,Slow,25.9
2100,(2017 JT2),2047,06:28,10.08,10.03,Mid-Distance,440.0,980.0,Large,31.81,31.81,Fast,18.9
2101,(2004 HM),2047,00:01,12.12,12.12,Mid-Distance,61.0,140.0,Large,13.25,13.24,Medium speed,23.2
2102,(2015 VE105),2047,16:28,14.70,10.04,Mid-Distance,31.0,68.0,Large,5.9,5.89,Slow,24.7
2103,(2006 HC),2047,15:13,11.64,9.79,Mid-Distance,22.0,49.0,Small,4.41,4.39,Slow,25.4
2104,(2021 HG1),2047,00:21,16.80,16.55,Mid-Distance,10.0,23.0,Small,11.36,11.35,Medium speed,27.1
2105,(2013 US3),2047,00:01,16.32,16.32,Mid-Distance,150.0,330.0,Large,7.04,7.04,Slow,21.3
2106,(2017 HW4),2047,00:03,4.51,4.49,Mid-Distance,100.0,230.0,Large,14.73,14.71,Medium speed,22.1
2107,(2015 YA),2047,15:03,7.11,4.58,Mid-Distance,8.8,20.0,Small,8.36,8.35,Slow,27.4
2108,(2012 LA),2047,03:55,10.29,9.90,Mid-Distance,8.0,18.0,Small,2.11,2.06,Slow,27.6
2109,(2015 XJ351),2047,21:03,4.16,0.22,Close,88.0,200.0,Large,16.06,16.04,Medium speed,22.4
2110,(2016 AB9),2047,01:21,11.56,6.49,Mid-Distance,31.0,68.0,Large,3.95,3.93,Slow,24.7
2111,(2006 MB14),2047,02:29,13.29,1.60,Far Away,22.0,49.0,Small,10.24,10.24,Medium speed,25.4
2112,(2016 WN1),2047,03:16,17.65,17.63,Mid-Distance,22.0,49.0,Small,15.05,15.04,Medium speed,25.4
2113,(2021 AZ6),2047,08:23,0.93,0.74,Close,14.0,32.0,Small,12.14,12.05,Medium speed,26.3
2114,(2016 AN165),2047,16:02,14.18,8.80,Mid-Distance,7.7,17.0,Small,10.0,9.99,Medium speed,27.7
2115,(2022 BN1),2047,14:10,3.35,2.73,Far Away,13.0,28.0,Small,5.87,5.82,Slow,26.6
2116,(2020 SR6),2047,18:16,18.53,17.85,Mid-Distance,19.0,43.0,Small,4.52,4.51,Slow,25.7
2117,(2010 AF40),2047,17:45,15.80,6.46,Mid-Distance,27.0,59.0,Large,13.26,13.26,Medium speed,25.0
